Domain,Domain_B,Full_Name,Name,Preamble,Positive,Negative,Q1_Outside_CC,Q1_Outside_OM,Q1_Outside_Final,Q3_Outside_CC,Q3_Outside_OM,Q3_Outside_Final,Dialectic_CC,Dialectic_OM,Dialectic_Final
Social Psychology,Cultural Psychology,Richard Nisbett,Nisbett,,"The only one that I feel qualified to speculate about is the academic impact, tele-academics that we're going to be having as an option. And there are positive and negative aspects, but the positive aspects. If you've got a class 75 people, the same two people raise their hand all the time. If you have got, everybody lined up and they say they can raise their hand without actually moving their hand, they just push a button and he can decide who to call on. So mix it up a bit, it isn't just the same two people with the shortest latency. Some higher education people are going to see advantages to that. And we’ll be inclined to use it I’m sure for lots of circumstances. Then at the elementary level, and probably also at secondary level as well, but certainly the elementary level, some children are saying now, I like this zoom education so much better than being in class, there’s not the chaos that you have in class, there’s not the jerks. At least for some kids, for some kinds of education, it's going to be a plus.","It’s internet education. There is something that goes on in a real classroom, that's superior, to what you can get, it's an immediacy, a clear reading of body language and facial expressions and so on, that gets lost. I worry that people will be using the internet education automatically without seriously thinking about it, which would be a big problem. The thing I most fear is that people will, if they have the option to get, their higher degree of BA be online for a very low price that many people will take it, who should not? Certainly if there's no way for you to get a really super college education, except through online means that's one thing. But if you are the sort of person who could afford to pay for college education or who could expect to get a scholarship for college education, then it's a huge loss not to do that. Your fellow students are as important as education, at any rate, who are extremely important. They're doing things. They can tell you what you said that’s stupid, and you can think then why is that stupid, and generalize from there. They can model intelligent thinking in all kinds of domains. So, a 1200 dollar online Stanford education is not going to give you anything like what the real thing can get.",0,0,0,0,0,0,1,1,1
Cognitive Psychology,Developmental Psychology,Robert Sternberg,Sternberg,,"The most positive change would be the realization that nationalism, populism and other such ideologies don't solve serious medical problems or other problems for that matter, that we're all in things together. We can't do it as America first or Canada first. That we need to balance long term interests, the long term well-being of the world as well as our countries with short term gains, and that we need to act ethically and not just talk about it.","It would be the realization that today for many people, their ideology trumps their concerns about human well-being and about life. And you can see this certainly in my own country, where the same people who vociferously argue for right to life, now are arguing for the right to behavior. For example, not wearing masks, that will literally kill other people. You can't talk about right to life and then go around, acting in ways that will kill others. That's not right to life. But also, the same people who have argued for the necessity of social distance, have made an exception for demonstrations against police brutality and violence. No matter how good the causes are, you need to have some consistency in what you say is wise. Right now, the negative change is, it seems, that people would rather see others die and maybe themselves die, than give up their ideologies.",0,0,0,0,0,0,1,1,1
Social Psychology,Health Psychology,Roxane Cohen Silver,CohenSilver,,"A few things that I expect will be different or at least, will have changed more quickly than we might have expected. First, I think that many people, certainly people who are, let's say, middle aged and older are embracing technology in ways that they might not have realized that they would be able to do, and do so quickly. Universities have switched very quickly to remote instruction, and individuals are communicating with their families and friends, across the country and across the world in ways that they might not have done so before the pandemic. I also think that individuals will newly embrace flexibility and understanding how to cope with loss of control, how to cope with isolation, to see the value of compliance factors that I think many people who encounter stressful life events learn, as they cope with crisis. And now, as we have a worldwide crisis in which we are embracing, many people will learn those skills and the value of those factors sooner than they might have otherwise done.","I'm most concerned about isolation, both isolation from one's loved ones and isolation amongst countries or within countries, not embracing the value of working with other people across the world. The necessity for isolation and lockdown across the world to prevent the spread of the coronavirus has led many people to lose touch with others, and again, it requires them an enormous amount of energy to reach out to others, the technology that we have available to us, but I am concerned about isolation and the psychological consequences of isolation and the societal consequences of isolation.",0,0,0,0,0,0,0,0,0
Social Psychology,,Roy Baumeister,Baumeister,,"One thing that people might hope for is that there will be a greater sense of social solidarity, that we're all working together. In our thinking about cultural change, there are changes that split and divide people and there are changes that bring people together. External threat certainly falls in the category of events that can bring a society together. So it would be in principle possible that coping with, this plague, this external threat, would be something that would increase members of the society's sense of finding something together. We might fantasize that it even would work at a global level, that we all around the world would realize, that as common humanity and with our common vulnerability to illness, we're all coping with the same problem. That's probably a bit much to hope for. But it could certainly work in countries that get through this by cooperating and working together.","Well, there's a toss-up, but to pick one: clearly the economic damage is a serious concern, which could compromise our society for a long period of time and potentially stunt the careers in life courses of countless young people who are at critical stages in their careers and in their life development. Another related thing is that lots of politicians look at a crisis as something they can use to advance their own agenda. And the phrase “don't let a good crisis go to waste” means oh, there's a problem, now we have a pandemic and people are getting sick. But, this is a chance to advance our other goals that we may have had before the pandemic was even an idea or concern in anyone's mind, let alone a reality. So, what happens in many of these cases will be an expansion of government power, more structures, more bureaucracy, and people when they are worried they are more willing to give up some of their freedom, see to an authority, which will take care of them. Now, it's an illusion, in this case, it's not clear if the government can really take care of us, the pandemic is a disease, but that would be the natural human impulse. One of the big ideas in there is demosclerosis, that as a state goes on, decade after decade, that it accumulates a stronger bureaucracy, more getting tied into special interests, who use the government for their own benefit, and prevent the government from doing its job to produce the general welfare. ",0,0,0,0,0,0,0,0,0
Cultural Psychology,Neuroscience,Shinobu Kitayama,Kitayama,,"Recently I was looking into what happened in 1918 influenza pandemic. And people were really impacted by that pandemic back then. But there was no significant psychological, societal change afterward. So I'm not sure if there's any significant changes happening automatically. But this doesn't mean that no change is needed. The world has changed quite a bit since then. And most likely, this kind of pandemic infectious diseases will be more frequent, if anything, so unless the humanity prepares itself for future pandemic like this, even greater disaster can happen easily. And therefore, I really think that humans need to change, societies need to change, and the cultural norms must change. And those changes may not happen automatically. If you leave it to people without doing any active intervention, people will restore their life in a few years, hopefully, and they forget. So in all likelihood, nothing happens. Proactive efforts towards societal change may be called upon. And now what kind of change is required and that could be is the next question. And I think there are two critical things. One, the idea of globalization as inherently virtuous, must be evaluated. This requires major reassessment. Second, there must be really active effort to preserve ecological diversity and the preservation of habitats for non-human animals and the plants, which need to be separated from the human habitat. And, to realize those, I think our motivational system needs to change. Right now over the last several hundred years, especially in the western half of the hemisphere, virtue was based on achievement and social comparison. Now this needs to be changed. To the one that is based on more holistic value, and holistic virtue of coexistence of all elements on the earth, and beyond. ","If neither of the two changes I consider to be necessary that is reassessment of globalization in the reduction of the wealth disparity happens and then there'll be greater likelihood of even greater disasters, to humanity in some near future. Now why is that? Well, story is very simple. Globalization, essentially makes it possible for virus to travel easily. And two, disparity. Why disparity matters? Because once you segregate the poor, and put them in some segregated area, that place is most likely to be hit and attacked by the virus. It’s very clear in the United States, for example, that simply mortality is much higher for African Americans. For example, essentially prejudice, segregation, poverty, all those systemic factors really fuels the movement and activity of the virus and once this happens, the entire society cannot stay free from this. And therefore, one globalization and two racial segregation, wealth disparity needs to be addressed very systematically and aggressively to reduce the likelihood of future pandemic.",1,1,1,0,0,0,1,1,1
Forecasting,Political Science,Sohail Inayatullah,Inayatullah,,"I have been running workshops and seminars with dozens of groups on their responses. And there's two things they tell me: one is workplace flexibility, second—wellbeing. Everyone says this is the part irrespective of what happens the next 10 years they wish to keep. ","I think it would be based on fear. The fear leads to a lack of epistemic agreement on what is real. And there's the rise of conspiracy theories, which lead to a rise of, I would say, deep racism throughout the world. So that would be the most negative thing I can see going on right now. ",0,1,0,0,0,0,0,0,0
Philosophy,,Steven Stich,Stich,,"A great deal has happened in the last four months. And I think in many cases, it's very hard to know how much of the response has been response to the pandemic and how much to other factors. One of the most positive societal changes that we've witnessed in the last few months is the growing awareness both intellectually and emotionally, of the serious racial injustice that exists in the United States. A major reason for that quantum jump in awareness certainly was the killing of George Floyd, and the excruciating video of that horrible event. I'm inclined to think that the pandemic actually contributed to the positive impact of the video. The economy's locked down, many people were working from home, there was more opportunity to see the video than there might have been prior to the pandemic. And since so many of us were suffering, we were perhaps primed to see and emphasize with the suffering that was portrayed on the video, and to begin to understand the impact that widespread racism of the sort that was so obvious in that video has had on the lives of millions of our fellow Americans. And, in addition, of course, large numbers of people joined the Black Lives Matter demonstrations. Here again, I think the pandemic may have facilitated that response. Schools and universities were closed, many people who were out of work, and the responsible news media made it clear that people of color were much more seriously impacted by the pandemic. I think it was sort of the perfect storm that forced many of us to see more clearly and to emphasize more vividly with the impact of racism and inequality.","that's a that's a very hard question because the pandemic will have so many negative impacts I'm really at a loss to predict which one ones will be the most significant. What I can say is that the negative impacts I personally worry about most are the ones that, not surprisingly, are closest to me. The devastating effect it's going to have on the careers of so many of the students that I work with. Graduate students are going to find it vastly more difficult to launch their academic careers. Many graduate students devoting three or four or five or six years to graduate training, are going to find that it's impossible to get a job at a college or university. Undergraduates are going to find it much more difficult to launch the careers they've been trained for and had been hoping for. So inevitably years are going to be lost. Life plans need to be put on hold. And I think in many cases, the income loss will never be recovered. The current generation of students is going to be worse off than their parents, almost certainly for the next decade and possibly for their entire lives. That may not be the most devastating impact of the pandemic. Afterall, hundreds of thousands by the time we're done, perhaps millions of lives will be lost. But it's the one that looms largest to someone like me, whose career is involved in teaching and mentoring undergraduates and graduate students.",0,0,0,0,0,0,0,0,0
Forecasting,Business Analysis,Theodore Modis ,Modis,,"For the first question, in which aspects of social life we might observe the most significant positive change? My answer is: the work environment. Working from home has proven far more feasible than originally thought. And it's here to stay, to a large extent anyway.","For the third question, which aspects of social life we might observe the most negative change? My answer is, again, the work environment. And I'm not being witty here. I mean it, because working from home has considerable negative aspects to it, as some of you have found out. There's an ancient Greek saying “There's nothing bad without something good in it.” And a modern Greek philosopher enhanced this saying by adding “and good and bad always come in the same amount.” One needs to ponder this for a while to fully appreciate this validity.  ",0,0,0,0,0,0,1,1,1
Philosophy,Wellbeing,Valerie Tiberius,Tiberius,,"If I had to predict something positive that would happen, it would be an increased awareness of our vulnerability and mutual dependence. We see a little bit of this already with people banging pots and clapping hands to support healthcare workers and other essential workers. My hope in practice is that this would mean increased support for universal health care in the US and for a more secure social safety net, which would have made a big difference in the US to how the pandemic played out and I think that could be a long lasting change that people understand the ways in which we're connected and the ways in which it's essential to support each other. ","Politically, I think there's a reason to worry that some leaders will take this as an opportunity to curtail individual liberty and increase social control beyond the point that's necessary to respond to the pandemic. I think we see that happening in some countries already. That’s a real concern. I know that there are parents who are worried about the long term consequences for this very fearful period on their children. Parents that I know are worried that their children will grow up with an increasing, greater sense of mistrust and fear of other people. They're also worried about the repercussions for children's education, and especially, I think as a society, we should be worried about the repercussions for the education of poor children who are disproportionately affected by the pandemic. ",0,0,0,0,0,0,0,0,0
Cultural Psychology,Personality,Veronica Benet Martinez,BenetMartinez,,"I believe that one of the positive changes for sure has been the strengthening of relationships. The confinement, combined with fear, have really made people feel much more picky about which relationships to maintain and cultivate, namely family, close ones. But also has allowed opportunities for meeting new people that maybe have joined your classes or your zoom parties and you have had an opportunity to kind of get to know them in a non-interrupted way. During the zoom party or zoom meeting, it's been a sort of a much more kind of focused microscopic way of looking at this relationship. I'm sure some new emergent friendships neighbors have emerged that I will say the main positive change will be the strengthening of relationships we deem important. The second gain, I would say, is the savoring of experiences. I think that this uncertainty we have hovering over our heads all the time, has made us really savor whatever positive experiences we have, some of them social, some of them individual, and realize that they're special, that they're wonderful and we have taken them for granted. ","I think, ones that come to mind very easily, I'm sure to many others also, is fear of socializing and being out, that many people probably have some sort of existential despair about the fate of society and humanity, helplessness, about loss of loss of life, loss of significant others, jobs opportunities, being unable to use one’s skillset. I know people who basically will have to completely change their profession, because they have jobs that are basically going to disappear. So a frustration to see your professional identity, go out of the window like that, because of a pandemic where certain things and certain activities cease to exist. And I think all of this is going to be magnified for individuals who struggle with mental health issues and who have lack of social support and professional resources and stability. ",0,0,0,0,0,0,0,1,1
Emotions,Wellbeing,Wendy Mendes,Mendes,,"It’s interesting to think about some of the positive aspects of the pandemic because what we know about human behavior and how we respond to stress is that there aren't always negative effects associated with stress, and that’s where the idea of resilience comes from, that people have the ability to adapt to new circumstances. And even in research where of maternal caregivers is the mothers with sick children, about 25 to 40% of women with sick children end up looking healthier because they find meaning in life and resilience. So not to put a positive spin on what is really sort of unprecedent unprecedented awful times, but since you asked me about positive change, the idea that the pandemic could potentially create more resilient profiles and understanding of meaning in life of what matters. And what matters is our loved ones, the people around us, our society or communities. When we consider the positive changes of the pandemic, the fact that people are connecting with old friends with remembering the values of the family because now they can't see them in some cases, helps remind us of the important things in life and so I think that is one of the positive changes that we could see.","When we're thinking about negative changes, it's important to think of the history of us as social beings and for millennia we have been used to and we've evolved to communicate with people face- to-face, in fact, it's only in our very recent evolutionary past, have we had the ability to communicate over video or telephones. So we have evolved to see each other and not just see each other, but also all of our senses smell, hear, directly touch. And so one of our critical sensorial features of communication is something like touch. Now, touch is powerful, especially when we think of it, in our smaller, close family circles. We're used to touching people we love, our family. We know from work, for example, by Jim Cohen, who shows that stress centers and fear centers in the brain down regulate with human touch, and it doesn't even have to be a loved one. It could be a stranger, so touch is powerful. And I think we're going to have to get used to not touching people. Even the idea of a handshake, extending and touching somebody who you're just meeting is useful. It's a way to sort of break down this barrier of being strangers and something like that right now would be ill advised. So we have to come up with ways to communicate, social connection and more, that doesn't require touch, and that I think will be very tricky for people, especially more in a Western culture. ",1,1,1,1,1,1,0,0,0
Social Psychology,Cultural Psychology,Ying Yi Hong,Hong,,"I think in response to the pandemic, you see that many people work together, cooperate together in order to prevent and protect themselves from the COVID-19. And indeed, what we find is that, for example, in some of the countries, for example, in mainland China, we have data to show that people become more... higher, they'll hold higher identification with the nation. And also actually people who hold higher national identity engage more in preventive behaviors. So we see a reciprocal effect in terms of having higher national identity, they're more likely to engage in preventive behaviors, and the more they engage in preventive behavior, the higher they become, the higher they identify with the nation. So we saw that in China, and I think there are some data coming out of New Zealand as well. But you know, other places might not necessarily be the same. But what we find so far is: Higher national identity is related to higher preventive behaviors towards COVID-19. So I think that might suggest that, in order to prevent the disease, people cooperate more. People are more likely to help out each other, and as a result increase the cohesion of the group.","On the one hand, it's nice to have a higher group cohesion. But I also can see a downside of it if it's too extreme. So if you are so nationalistic in the sense that you only favor your in-group, but not, I mean, wanting to help out-group. Actually, this is a classic phenomenon when there is a lot of disease around or there is a high probability of contracting infectious disease many groups become more closed-off. They don't want to reach out to strangers, or people of the other group, people that they are not familiar with, because they are so afraid of contracting the disease. So some of this, actually, you might see happening when there are people from a place where the contagion, I mean the infection rate, is high. People might be more worried about people coming from those regions. ",1,1,1,1,0,0,1,1,1
Social Psychology,Cultural Psychology,Yoshi Kashima,Kashima,,"A change is the belief in change. People are going to think that there will be change and that belief of future changes are going to create changes themselves, in many ways, because they think that it's possible to change and they'll begin to act on it. So  the best thing that happened is that people are now beginning to think that there will be a change.","There will be a change and not all changes are going to be good for everybody. So there'll be something bad happening and the good changes as well. The power of a state, nation state that is going to increase in some parts of the world, but say in other parts of the world that might fail. And what that means is that the kind of institutional support for civil society and everyday life may be weakened especially in some failing states, but it can be strengthened for better or worse in some other parts and that could be a major problem in some areas. So, it could be positive in that the state power might enter say a domestic living and that could reduce for instance the problem of domestic violence at the same time, that means that the some of the sanctity of family life could be eroded, and the state power can come into that sort of private living. So, there’s are positive and negative. I really I wonder what is going to happen to the estate power?",0,0,0,0,0,0,1,1,1
Cultural Psychology,Wellbeing,Yukiko Uchida,Uchida,,"My own research on the Great East Japan earthquake nine years ago in Japan suggested that people re-evaluate their ordinary lives and the strengths and their feelings of the gratitude towards family members or social networks. This coronavirus pandemic is also affecting their social bonds and we can re-evaluate how the pressures that each social bond we have. Then, in Japan, the most positive changes that people are able to see, the balance between work and private life. In general the Japanese business people stay in their office, longer time than other countries. Before the pandemic Japanese businessman, feel pressured by collectivistic organizational culture to work together and monitor each other. So the evaluation system is based on long working hours, the long working order signal for the high motivation and the commitment to the workplace in Japan. So, in addition due to the centralization in the Tokyo area, many business persons should commute by crowded trains and the average length of the commuting is around an hour. One way, I mean this will total two hours per day. So now after coronavirus pandemic working at home is more likely to be prevailed in Japanese context too. Then we can extend our family time and maybe this is the kind of moment to re-evaluate how precious our  significant other social relationships closer to each other. And the impact is far greater than other countries I think, maybe because of the gap between before the coronavirus pandemic and after coronavirus pandemic. So after teleworking, they found that it is not necessary at least some types of help, to go to the office while their sacrificing time for a long commute. Their now working style in the cultural norm should be changed. And in terms of the universal perspective, we can be more flexible to connect internationally with each other via SMS and an online communication. Before it was very common to visit some people by flying long distance to have a meeting. Holding an online meeting was optional at that time, but now it is becoming a standard that even small children can communicate with their family and relatives online. This is a new way of feeling connected each other so this is the kind of the positive impact to seek our new social life. So online and seeking work life balance.","In a Japanese context, they still feel that we have to monitor the work of colleagues or subordinates, even when the employees work at home. So, it is due to the system of evaluation, which depend heavily on an effort rather than the outcome. Maybe some types of the cultural context they pay attention to the time to make effort rather than outcome. So the under such cultural context we need to have some changes and without such changes this might have some negative impact because some people just try not to have evaluation by outcome of the work. This is kind of big challenge for us to shift from the effort base evaluation system to outcome evaluation system. It's kind of stressful for us. And we have another impersonal small chat, type of the conversation. So, for some people who do not want to be disturbed by others, reducing the possibility to have a chat with others could have a positive impact, but others, however, maybe they miss such kind of  refreshment or brainstorming or information sharing we usually obtained from the small chat in social interactions. But if they have no such kind of relationship and they feel lonely, then this kind of change also worsen their feeling of the loneliness. So that maybe should be overcome from the some societal wisdom to protect the people from the feeling of loneliness.",1,1,1,0,0,0,1,1,1
